        rejection_rate  freq_move  numb_rejection  numb_moves
params                                                       
A11           0.016233    0.05298            86.0      5298.0
A21           0.005338    0.05245            28.0      5245.0
A12           0.097693    0.05159           504.0      5159.0
A22           0.011288    0.05227            59.0      5227.0
C11           0.263277    0.05291          1393.0      5291.0
C21           0.000762    0.05246             4.0      5246.0
C22           0.000964    0.05185             5.0      5185.0
rho           0.029067    0.05367           156.0      5367.0
sigma         0.020156    0.05259           106.0      5259.0
l_01          0.011632    0.05330            62.0      5330.0
l_02          0.000953    0.05247             5.0      5247.0
l_03          0.005838    0.05310            31.0      5310.0
l_x1          0.000767    0.05215             4.0      5215.0
l_x2          0.000188    0.05312             1.0      5312.0
l_x3          0.000000    0.05307             0.0      5307.0
d_0           0.000987    0.05067             5.0      5067.0
d_y1          0.000000    0.05448             0.0      5448.0
d_y2          0.000000    0.05172             0.0      5172.0
d_x           0.000000    0.05315             0.0      5315.0
Total         0.024490    1.00000          2449.0    100000.0
